Bureau,Voie,Début pair,Fin Pair,Début impair,Fin Impair
1,Impasse de l’Abbé Lassailly,0,9998,1,9999
1,Impasse du Bac,0,9998,1,9999
1,Passage de l’Abbé Lassailly,0,9998,1,9999
1,Passage du 20 Août 1944,0,9998,1,9999
1,Place Chollet,0,9998,1,9999
1,Quai de la Baronnie,0,9998,1,9999
1,Quai Magne,0,9998,1,9999
1,Ecluse,0,9998,1,9999
1,Rue de l’Église,0,9998,1,9999
1,Rue du Bac,0,9998,1,9999
1,Rue Jacques Jeunon,0,9998,1,9999
1,Rue Saint-Georges,0,9998,1,9999
1,Rue Sully,0,9998,1,9999
1,Rue Foulon,0,9998,1,9999
2,Sentier du Challoy,0,9998,1,9999
2,Sentier des Garmones,0,9998,1,9999
2,Rue du Général de Gaulle,0,9998,1,9999
2,Avenue de la Reine Astride,0,9998,1,9999
2,Rue Bir-Hakeim,0,9998,1,9999
2,Rue du Général Koenig,0,9998,1,9999
2,Villa des Fleurs,0,9998,1,9999
2,Place de la Libération,0,9998,1,9999
2,Gare Marchandise,0,9998,1,9999
2,Rue du Colonel P. Brossolette,0,9998,1,9999
2,Rue de la Sablière,0,9998,1,9999
2,Rue des Maraichers,0,9998,1,9999
2,Rue Simon,0,9998,1,9999
2,Rue Edouard Juvigny,0,9998,1,9999
2,Rue Maréchal Foch,0,9998,1,9999
2,Avenue Auguste Duru,0,9998,1,9999
2,Rue Pierre et Marie Curie,0,9998,1,9999
2,Rue de Verdun,0,9998,1,9999
2,Rue D’Estienne d’Orves,0,9998,1,9999
2,Gare d’Ablon,0,9998,1,9999
2,Montée de la Gare,0,9998,1,9999
2,Rue des Roses,0,9998,1,9999
2,Ruen Henri Magnier,0,9998,1,9999
2,Rue du Général Leclerc,0,9998,1,9999
2,Villa Médicis,0,9998,1,9999
2,Rue Gabriel Péri,0,9998,1,9999
3,Allée Beauséjour,0,9998,1,9999
3,Rue Henri Laire,0,9998,1,9999
3,Rue Robert Schumann,0,9998,1,9999
3,Allée du Boie,0,9998,1,9999
3,Rue du Hameau de Bellevue,0,9998,1,9999
3,Allée des Cèdres,0,9998,1,9999
3,Allées de l’Ecole,0,9998,1,9999
3,Avenue de l’Europe,0,9998,1,9999
3,Allée de l’Orangerie,0,9998,1,9999
3,Rue de la Courre-aux-Lièvres,0,9998,1,9999
3,Allée des Tamaris,0,9998,1,9999
3,Rue du Mont-Cassin,0,9998,1,9999
3,Rue de Mons,0,9998,1,9999
3,Ruelle robert,0,9998,1,9999
3,Rue d’Ablon,0,9998,1,9999
3,Impasse Geuffron,0,9998,1,9999
3,Allée des Ormes,0,9998,1,9999
3,Allée des Peupliers,0,9998,1,9999
3,Rue Henri Dunant,0,9998,1,9999
3,Sentier de la Courre-aux-Lièvres,0,9998,1,9999
4,Avenue Gambetta,0,9998,1,9999
4,Avenue du Val d’Ablon,0,9998,1,9999
4,Rue Edmond Rostand,0,9998,1,9999
4,Rue Charles Baudelaire,0,9998,1,9999
4,Résidence du Val d’Ablon,0,9998,1,9999
4,Rue Alphonse Daudet,0,9998,1,9999
4,Quai Pasteur,0,9998,1,9999
4,Route de Villeneuve,0,9998,1,9999
4,Avenue Georges Clemenceau,0,9998,1,9999
4,Avenue Aristide Briand,0,9998,1,9999
4,Rue des Belges,0,9998,1,9999
4,Rue Pitois,0,9998,1,9999
4,Rue de la Compagnie Paris-Orléans,0,9998,1,9999
4,Place Gambetta,0,9998,1,9999
4,Rue Henri Gilbert,0,9998,1,9999
4,Rue Louis Moreau,0,9998,1,9999
4,Rue Merigot,0,9998,1,9999
4,Rue Pierre Loti,0,9998,1,9999
