Bureau,Voie,Début pair,Fin Pair,Début impair,Fin Impair
1,Chemin de la Brie,0,9998,0,9999
1,Allée Camille Claudel,0,9998,0,9999
1,Rue Claude Monet,0,9998,0,9999
1,Rue Condorcet,0,9998,0,9999
1,Rue Denis Diderot,0,9998,0,9999
1,Rue Georges Sand,0,9998,0,9999
1,Rue Henri Barbusse,0,9998,0,9999
1,Place de l’Hôtel de Ville,0,9998,0,9999
1,Rue Jacques Prévert,0,9998,0,9999
1,Rue Jean Rostand,0,9998,0,9999
1,Allée Jean Vilar,0,9998,0,9999
1,Rue Louise Michel,0,9998,0,9999
1,Rue Paul Cézanne,0,9998,0,9999
1,Rue Paul Gauguin,0,9998,0,9999
1,Allée de la Pépinière,0,9998,0,9999
1,Allée du Clos de la Petite Ferme,0,9998,0,9999
1,Avenue Pierre Mendès France,0,0,1,3ter
1,Rue Pierre Viénot,0,9998,0,9999
1,Rue René Cassin,0,9998,0,9999
1,Passage des Uzelles,0,9998,0,9999
2,Rue Albert Camus,0,9998,0,9999
2,Allée Alfred Kastler,0,9998,0,9999
2,Rue Alphonse Daudet,0,9998,0,9999
2,Rue de Bellevue,0,9998,0,9999
2,Rue Berthelot,0,9998,0,9999
2,Rue du Docteur Roux,0,9998,0,9999
2,Rue Edouard Branly,0,9998,0,9999
2,Rue Emile Zola,0,9998,0,9999
2,Chemin de la Fontaine de Villiers,0,9998,0,9999
2,Rue Frédéric Mistral,0,9998,0,9999
2,Chemin de la Haute Borne,0,9998,0,9999
2,Rue de la Haute Borne,0,9998,0,9999
2,Rue Léonard de Vinci,0,9998,0,9999
2,Rue Pierre Curie,0,9998,0,9999
2,Avenue Pierre Mendès France,6,118,7,67
2,Avenue Pierre Mendès France,0,0,69,87
2,Avenue Pierre Mendès France,0,0,89,119
2,Rue Raymond Paulvaiche,0,9998,0,9999
2,Rue Saint-Exupéry,0,9998,0,9999
3,Chemin des Basses Brunes,0,9998,0,9999
3,Rue Pierre Brossolette,0,9998,0,9999
3,Rue Albert Einstein,0,9998,0,9999
3,Rue Charles Gounod,0,9998,0,9999
3,Rue Claude Debussy,0,9998,0,9999
3,Allée des Hautes Brunes,0,9998,0,9999
3,Allée Lucie Aubrac,0,9998,0,9999
3,Rue Hector Berlioz,0,9998,0,9999
3,Rue Jean Moulin,0,9998,0,9999
3,Rue Jacques Monod,0,9998,0,9999
3,Rue Jean Zay,0,9998,0,9999
3,Rue Léon Blum,0,9998,0,9999
3,Rue Maurive Ravel,0,9998,0,9999
3,Chemin du Moulin,2,20,1,23
3,Allée de la Petite Plaine,0,9998,0,9999
3,Avenue Pierre Mendès France,2,4,0,0
3,Rue Président Kennedy,4,4,0,9999
3,Sentier de la Saussaie Luisante,0,9998,0,9999
3,Rue Victor Hugo,0,9998,0,9999
4,Rue Alexandre Milard,0,9998,0,9999
4,Rue Anatole France,0,9998,0,9999
4,Allée du Belvédère,0,9998,0,9999
4,Centre PTT,0,9998,0,9999
4,Cuvette de Champlain RN4,0,9998,0,9999
4,Chemin du Côteau,0,9998,0,9999
4,Rue d’Estienne d’Orves,0,9998,0,9999
4,Impasse du Four,0,9998,0,9999
4,Rue Gabriel Péri,0,9998,0,9999
4,Chemin de la Garenne,0,9998,0,9999
4,Rue du Général de Gaulle,0,9998,0,9999
4,Rue Léon Bresset,0,9998,0,9999
4,Rue Paul Langevin,0,9998,0,9999
4,Rue Président Allende,0,9998,0,9999
4,Route de la Queue en Brie,0,9998,0,9999
4,Rue Sadi Carnot,0,9998,0,9999
4,Rue du Président Kennedy,0,9998,0,9999
4,Chemin du Moulin,22,9998,25,9999
