Bureau,Voie,Début pair,Fin Pair,Début impair,Fin Impair
1,Allée de l'Europe,0,9998,1,9999
1,Allée des Acacias,0,9998,1,9999
1,Allée des Cèdres,0,9998,1,9999
1,Allée des Erables,0,9998,1,9999
1,Allée des Frênes,0,9998,1,9999
1,Allée des Merisiers,0,9998,1,9999
1,Allée des Peupliers,0,9998,1,9999
1,Allée des Sorbiers,0,9998,1,9999
1,Allée Simon de Paroigny,0,9998,1,9999
1,Avenue des Charmes,0,9998,1,9999
1,Avenue des Tilleuls,0,9998,1,9999
1,Impasse du Bel Air,0,9998,1,9999
1,Impasse Polyantha,0,9998,1,9999
1,Domaine de Saint Leu,0,9998,1,9999
1,Place Baccara,0,9998,1,9999
1,Place de Boécourt,0,9998,1,9999
1,Place des Saules,0,9998,1,9999
1,Place du Général de Gaulle,0,9998,1,9999
1,Place Lady Butterﬂy,0,9998,1,9999
1,Place Madame Herriot,0,9998,1,9999
1,Place Rose Linda,0,9998,1,9999
1,Rue Achille de Thomassin,0,9998,1,9999
1,Rue Alexandre Dumas,0,9998,1,9999
1,Rue de Brie,0,9998,1,9999
1,Rue de Servon,0,9998,1,9999
1,Rue des Châtaigniers,0,9998,1,9999
1,Rue de Mandres,0,9998,1,9999
1,Rue des Plantes,0,9998,1,9999
1,Rue des Roses,0,9998,1,9999
1,Rue du Général Leclerc,0,9998,1,9999
1,Rue Neuve des Plantes,0,9998,1,9999
1,Sentier des Marchés,0,9998,1,9999
1,Villa Carina,0,9998,1,9999
1,Villa Diorette,0,9998,1,9999
1,Villa Madame Meilland,0,9998,1,9999
2,Allée de la Clé des Champs,0,9998,1,9999
2,Allée des Fleurs,0,9998,1,9999
2,Allée de la Pommeraie,0,9998,1,9999
2,Allée du Clos de la Roseraie,0,9998,1,9999
2,Chemin de l'Etang,0,9998,1,9999
2,Chemin du Moulin Neuf,0,9998,1,9999
2,Impasse de la Grande Cour,0,9998,1,9999
2,Impasse de l'Osier,0,9998,1,9999
2,Impasse des Carpeaux,0,9998,1,9999
2,impasse des Jardinets,0,9998,1,9999
2,Impasse des Vergers,0,9998,1,9999
2,Impasse du Rû,0,9998,1,9999
2,Le Haut Chemin,0,9998,1,9999
2,Place du Canal,0,9998,1,9999
2,Résidence la Champagne,0,9998,1,9999
2,Route de Brie Comte Robert,0,9998,1,9999
2,Rue de la Champagne,0,9998,1,9999
2,Rue de la Chaussée de l'Etan,0,9998,1,9999
2,Rue de la Chaussée de Varennes,0,9998,1,9999
2,Rue de la Fontaine,0,9998,1,9999
2,Rue de l‘Osier,0,9998,1,9999
2,Rue de Varennes Jarcy,0,9998,1,9999
2,Rue des Alouettes,0,9998,1,9999
2, Rue des Pierreux,0,9998,1,9999
2,Rue du Moulin,0,9998,1,9999
2,Rue Neuve des Plantes,0,9998,1,9999
2,Rue Paul Doumer,0,9998,1,9999
2,Rue Saint Leu,0,9998,1,9999
2,Ruelle aux Chevaux,0,9998,1,9999
2,Ruelle des Clos,0,9998,1,9999
2,Sante de la Provode,0,9998,1,9999
2,Sentier des Vaux,0,9998,1,9999
2,Sentier sous les Jardins,0,9998,1,9999
